Base_Fare,Days_to_Journey,Seats_Booked_Percentage,Is_Premium,Target_Fare
1260,72,11,0,1260.0
1694,7,93,0,1694.0
1530,63,52,0,1530.0
1495,111,35,0,1495.0
2038,119,80,0,2038.0
2569,46,47,1,3339.7000000000003
866,63,51,0,866.0
1638,104,14,0,1638.0
730,12,20,1,803.0000000000001
1882,13,74,1,2823.0
2535,43,43,0,2535.0
530,17,10,1,530.0
2085,63,92,1,3127.5
1169,81,11,0,1169.0
2791,36,94,1,4186.5
1915,85,29,0,1915.0
2833,8,70,0,2833.0
1615,69,96,1,2422.5
1355,90,30,0,1355.0
2724,80,97,0,2724.0
1584,36,77,1,2376.0
859,28,21,1,944.9000000000001
421,118,31,1,505.2
2700,93,29,1,2970.0000000000005
1147,47,91,0,1147.0
874,76,10,1,874.0
1482,101,39,1,1778.3999999999999
2958,30,33,0,2958.0
2447,23,23,0,2447.0
1375,16,45,0,1375.0
2206,14,78,0,2206.0
589,74,84,1,883.5
962,71,33,1,1154.3999999999999
2299,109,69,0,2299.0
1667,52,64,0,1667.0
1928,37,86,0,1928.0
1046,29,89,0,1046.0
2468,67,33,1,2961.6
2614,15,86,0,2614.0
1697,100,33,1,2036.3999999999999
2835,47,63,0,2835.0
1000,46,35,1,1200.0
2763,52,75,1,4144.5
2461,19,89,1,3691.5
641,77,47,1,833.3000000000001
2441,106,74,0,2441.0
1763,21,84,1,2644.5
2539,64,60,0,2539.0
1790,37,44,1,2327.0
1878,27,52,1,2629.2
2956,55,38,0,2956.0
1175,116,46,0,1175.0
434,29,90,1,651.0
2653,20,67,1,3979.5
2355,25,63,0,2355.0
1985,70,48,1,2580.5
1421,63,51,0,1421.0
1529,36,37,0,1529.0
1900,2,38,0,2200.0
1102,22,52,1,1542.8
2849,96,12,1,2849.0
1979,16,19,0,1979.0
561,18,68,0,561.0
601,69,23,0,601.0
2381,54,85,0,2381.0
1395,100,56,1,1952.9999999999998
2717,30,51,0,2717.0
1215,45,41,1,1579.5
855,19,41,0,855.0
1675,87,51,1,2345.0
1416,34,41,1,1840.8
2743,13,35,1,3291.6
737,43,10,1,737.0
1278,62,65,1,1917.0
1476,118,11,0,1476.0
1191,93,90,0,1191.0
2664,100,39,1,3196.7999999999997
1163,22,80,0,1163.0
2635,52,61,0,2635.0
779,52,18,0,779.0
892,111,31,0,892.0
1580,36,43,0,1580.0
2462,73,58,0,2462.0
464,103,10,0,464.0
2968,115,82,1,4452.0
1767,19,93,0,1767.0
1552,38,62,0,1552.0
2427,70,92,0,2427.0
1895,116,49,1,2463.5
1562,111,54,1,2186.7999999999997
1922,79,77,0,1922.0
791,57,18,1,791.0
2098,20,31,1,2517.6
818,9,27,0,818.0
2736,32,85,1,4104.0
778,4,52,0,778.0
2196,50,48,1,2854.8
2678,82,82,0,2678.0
2488,5,15,1,2488.0
2582,20,92,0,2582.0
600,87,57,0,600.0
2263,75,16,1,2263.0
1179,37,89,0,1179.0
902,22,78,0,902.0
2854,58,25,1,3139.4
2151,68,10,0,2151.0
1204,93,46,0,1204.0
2546,44,92,1,3819.0
2295,34,46,0,2295.0
1970,77,90,1,2955.0
1360,42,73,0,1360.0
1885,9,99,1,2827.5
1428,106,95,1,2142.0
902,95,71,0,902.0
797,7,81,1,1195.5
1270,68,70,0,1270.0
792,19,42,0,792.0
606,106,75,1,909.0
1438,94,39,0,1438.0
2281,31,29,0,2281.0
1884,35,69,1,2826.0
1263,57,91,0,1263.0
963,85,83,0,963.0
1420,61,33,1,1704.0
495,31,13,0,495.0
2323,83,46,0,2323.0
2157,95,13,1,2157.0
2932,53,86,0,2932.0
