Origin,Dest,Train_No,Train_Name,Type,Base_Fare,Days_to_Journey,Seats_Booked_Percentage,Is_Premium,Dep,Arr,Dur
NDLS,CNB,0,Unknown,Express,579,1,113,0,--:--,--:--,4:8
NDLS,CNB,0,Unknown,Express,579,2,101,0,--:--,--:--,4:8
NDLS,CNB,0,Unknown,Express,579,5,93,0,--:--,--:--,4:8
NDLS,CNB,0,Unknown,Express,579,10,51,0,--:--,--:--,4:8
NDLS,CNB,0,Unknown,Express,579,20,36,0,--:--,--:--,4:8
NDLS,CNB,0,Unknown,Express,579,30,26,0,--:--,--:--,4:8
CSMT,PUNE,0,Unknown,Express,280,1,100,0,--:--,--:--,3:5
CSMT,PUNE,0,Unknown,Express,280,2,92,0,--:--,--:--,3:5
CSMT,PUNE,0,Unknown,Express,280,5,88,0,--:--,--:--,3:5
CSMT,PUNE,0,Unknown,Express,280,10,44,0,--:--,--:--,3:5
CSMT,PUNE,0,Unknown,Express,215,20,16,0,--:--,--:--,2:50
CSMT,PUNE,0,Unknown,Express,280,30,18,0,--:--,--:--,3:5
HWH,PNBE,0,Unknown,Express,688,1,97,0,--:--,--:--,6:50
HWH,PNBE,0,Unknown,Express,688,2,106,0,--:--,--:--,6:50
HWH,PNBE,0,Unknown,Express,688,5,92,0,--:--,--:--,6:50
HWH,PNBE,0,Unknown,Express,688,10,69,0,--:--,--:--,6:50
HWH,PNBE,0,Unknown,Express,695,20,21,0,--:--,--:--,7:13
HWH,PNBE,0,Unknown,Express,688,30,35,0,--:--,--:--,6:50
MAS,SBC,0,Unknown,Express,484,1,104,0,--:--,--:--,4:10
MAS,SBC,0,Unknown,Express,484,2,99,0,--:--,--:--,4:10
NDLS,CNB,0000,Unknown,Express,579,1,115,0,--:--,--:--,4:8
NDLS,CNB,0000,Unknown,Express,579,2,89,0,--:--,--:--,4:8
NDLS,CNB,0000,Unknown,Express,579,5,60,0,--:--,--:--,4:8
NDLS,CNB,0000,Unknown,Express,579,10,70,0,--:--,--:--,4:8
NDLS,CNB,0000,Unknown,Express,579,20,20,0,--:--,--:--,4:8
NDLS,CNB,0000,Unknown,Express,579,30,28,0,--:--,--:--,4:8
CSMT,PUNE,0000,Unknown,Express,280,1,101,0,--:--,--:--,3:5
CSMT,PUNE,0000,Unknown,Express,280,2,110,0,--:--,--:--,3:5
CSMT,PUNE,0000,Unknown,Express,280,5,76,0,--:--,--:--,3:5
CSMT,PUNE,0000,Unknown,Express,280,10,57,0,--:--,--:--,3:5
