Train_No,Base_Fare,Days_to_Journey,Seats_Booked_Percentage,Is_Premium
0000,579,1,111,0
0000,563,1,104,0
0000,579,1,87,0
0000,576,1,98,0
0000,578,1,87,0
0000,578,1,96,0
0000,574,1,110,0
0000,579,1,113,0
0000,563,1,114,0
0000,576,1,108,0
0000,562,1,93,0
0000,563,1,90,0
0000,562,1,106,0
0000,578,1,97,0
0000,578,1,101,0
0000,579,1,91,0
0000,563,1,96,0
0000,567,1,110,0
0000,574,1,120,0
0000,562,1,109,0
0000,563,1,86,0
0000,558,1,99,0
0000,574,1,95,0
0000,578,1,107,0
0000,574,1,112,0
0000,578,1,90,0
0000,578,1,114,0
0000,572,1,98,0
0000,579,1,102,0
0000,574,1,104,0
0000,579,1,112,0
0000,563,1,85,0
0000,572,1,95,0
0000,579,1,101,0
0000,572,1,120,0
0000,579,1,98,0
0000,562,1,120,0
0000,579,1,96,0
0000,579,1,89,0
0000,569,1,90,0
0000,572,1,91,0
0000,572,1,106,0
0000,572,1,116,0
0000,570,1,96,0
0000,632,1,98,0
0000,579,3,69,0
0000,579,3,65,0
0000,563,3,95,0
0000,579,3,61,0
0000,576,3,86,0
0000,578,3,85,0
0000,578,3,64,0
0000,574,3,69,0
0000,579,3,66,0
0000,563,3,75,0
0000,562,3,65,0
0000,563,3,66,0
0000,578,3,93,0
0000,578,3,77,0
0000,578,3,91,0
0000,563,3,85,0
0000,567,3,80,0
0000,574,3,93,0
0000,562,3,92,0
0000,578,3,60,0
0000,563,3,91,0
0000,558,3,86,0
0000,574,3,72,0
0000,578,3,78,0
0000,558,3,76,0
0000,578,3,80,0
0000,578,3,95,0
0000,572,3,62,0
0000,579,3,92,0
0000,574,3,71,0
0000,563,3,63,0
0000,579,3,70,0
0000,578,3,73,0
0000,563,3,82,0
0000,579,3,64,0
0000,572,3,66,0
0000,579,3,95,0
0000,572,3,94,0
0000,562,3,76,0
0000,579,3,68,0
0000,579,3,71,0
0000,563,3,70,0
0000,579,3,80,0
0000,569,3,86,0
0000,572,3,83,0
0000,572,3,93,0
0000,570,3,65,0
0000,572,3,67,0
0000,572,3,71,0
0000,574,3,90,0
0000,567,3,78,0
0000,632,3,90,0
0000,579,7,64,0
0000,579,7,60,0
0000,579,7,73,0
0000,576,7,76,0
0000,578,7,79,0
0000,578,7,88,0
0000,574,7,63,0
0000,579,7,87,0
0000,557,7,79,0
0000,563,7,71,0
0000,563,7,85,0
0000,563,7,95,0
0000,563,7,67,0
0000,578,7,86,0
0000,562,7,61,0
0000,578,7,60,0
0000,563,7,66,0
0000,563,7,69,0
0000,567,7,80,0
0000,574,7,86,0
0000,562,7,94,0
0000,563,7,65,0
0000,558,7,86,0
0000,574,7,80,0
0000,578,7,91,0
0000,574,7,61,0
0000,578,7,66,0
0000,579,7,63,0
0000,573,7,91,0
0000,578,7,61,0
0000,572,7,74,0
0000,579,7,86,0
0000,574,7,75,0
0000,579,7,69,0
0000,578,7,87,0
0000,563,7,87,0
0000,563,7,83,0
0000,579,7,92,0
0000,572,7,95,0
0000,579,7,91,0
0000,562,7,79,0
0000,579,7,62,0
0000,579,7,72,0
0000,563,7,64,0
0000,563,7,75,0
0000,569,7,69,0
0000,572,7,81,0
0000,572,7,82,0
0000,570,7,95,0
0000,572,7,67,0
0000,572,7,86,0
0000,574,7,92,0
0000,632,7,93,0
0000,579,15,68,0
0000,563,15,73,0
0000,579,15,54,0
0000,576,15,53,0
0000,578,15,54,0
0000,578,15,68,0
0000,574,15,41,0
0000,563,15,70,0
0000,576,15,72,0
0000,562,15,74,0
0000,563,15,68,0
0000,562,15,69,0
0000,578,15,46,0
0000,578,15,62,0
0000,579,15,58,0
0000,563,15,69,0
0000,567,15,69,0
0000,574,15,67,0
0000,562,15,47,0
0000,578,15,50,0
0000,563,15,75,0
0000,558,15,69,0
0000,574,15,49,0
0000,574,15,42,0
0000,578,15,55,0
0000,579,15,51,0
0000,578,15,75,0
0000,572,15,75,0
0000,574,15,65,0
0000,579,15,44,0
0000,579,15,49,0
0000,578,15,56,0
0000,563,15,49,0
0000,572,15,49,0
0000,572,15,40,0
0000,579,15,72,0
0000,563,15,51,0
0000,562,15,40,0
0000,579,15,70,0
0000,579,15,63,0
0000,579,15,69,0
0000,569,15,44,0
0000,572,15,42,0
0000,572,15,43,0
0000,572,15,54,0
0000,572,15,45,0
0000,570,15,69,0
0000,574,15,53,0
0000,632,15,57,0
0000,579,30,28,0
0000,579,30,34,0
0000,563,30,10,0
0000,579,30,15,0
0000,576,30,41,0
0000,578,30,42,0
0000,578,30,11,0
0000,578,30,39,0
0000,579,30,23,0
0000,576,30,13,0
0000,563,30,13,0
0000,563,30,26,0
0000,563,30,44,0
0000,578,30,29,0
0000,578,30,17,0
0000,563,30,39,0
0000,572,30,43,0
0000,563,30,36,0
0000,567,30,45,0
0000,574,30,36,0
0000,562,30,11,0
0000,578,30,37,0
0000,563,30,38,0
0000,558,30,25,0
0000,574,30,20,0
0000,578,30,33,0
0000,574,30,18,0
0000,578,30,44,0
0000,572,30,13,0
0000,579,30,18,0
0000,574,30,14,0
0000,563,30,16,0
0000,579,30,30,0
0000,563,30,32,0
0000,578,30,38,0
0000,563,30,15,0
0000,572,30,25,0
0000,568,30,14,0
0000,579,30,32,0
0000,563,30,35,0
0000,562,30,15,0
0000,558,30,20,0
0000,579,30,44,0
0000,579,30,19,0
0000,569,30,27,0
0000,572,30,27,0
0000,572,30,21,0
0000,570,30,27,0
0000,572,30,24,0
0000,570,30,19,0
0000,574,30,29,0
0000,632,30,39,0
0000,280,1,98,0
0000,216,1,92,0
0000,215,1,89,0
0000,215,1,119,0
0000,215,1,112,0
0000,215,1,120,0
0000,216,1,101,0
0000,195,1,88,0
0000,277,1,86,0
0000,261,1,98,0
0000,280,1,118,0
0000,261,1,102,0
0000,261,1,93,0
0000,216,1,97,0
0000,277,1,95,0
0000,276,1,115,0
0000,269,1,85,0
0000,280,1,97,0
0000,279,1,116,0
0000,280,1,95,0
0000,261,1,115,0
0000,280,1,113,0
0000,269,1,119,0
0000,280,1,115,0
0000,280,1,90,0
0000,280,1,92,0
0000,266,1,94,0
0000,280,1,112,0
0000,277,1,91,0
0000,280,1,117,0
0000,278,1,93,0
0000,280,3,61,0
0000,215,3,71,0
0000,215,3,81,0
0000,261,3,92,0
0000,215,3,61,0
0000,195,3,76,0
0000,216,3,86,0
0000,277,3,84,0
0000,261,3,85,0
0000,194,3,87,0
0000,280,3,60,0
0000,261,3,89,0
0000,261,3,83,0
0000,215,3,89,0
0000,261,3,86,0
0000,277,3,75,0
0000,276,3,60,0
0000,269,3,66,0
0000,280,3,86,0
0000,279,3,63,0
0000,280,3,87,0
0000,261,3,94,0
0000,280,3,71,0
0000,274,3,70,0
0000,280,3,69,0
0000,280,3,82,0
0000,280,3,94,0
0000,280,3,84,0
0000,266,3,70,0
0000,280,3,63,0
0000,277,3,72,0
0000,280,3,72,0
0000,215,7,66,0
0000,215,7,73,0
0000,215,7,74,0
0000,261,7,76,0
0000,216,7,76,0
0000,215,7,78,0
0000,195,7,82,0
0000,215,7,90,0
0000,277,7,87,0
0000,261,7,74,0
0000,194,7,92,0
0000,280,7,84,0
0000,261,7,72,0
0000,261,7,85,0
0000,216,7,60,0
0000,261,7,62,0
0000,277,7,71,0
0000,276,7,64,0
0000,269,7,68,0
0000,280,7,76,0
0000,279,7,84,0
0000,280,7,91,0
0000,216,7,80,0
0000,261,7,82,0
0000,280,7,66,0
0000,269,7,60,0
0000,280,7,63,0
0000,280,7,69,0
0000,274,7,86,0
0000,280,7,68,0
0000,280,7,62,0
0000,280,7,78,0
0000,266,7,93,0
0000,280,7,75,0
0000,257,7,68,0
0000,277,7,86,0
0000,280,7,92,0
0000,280,15,73,0
0000,216,15,68,0
0000,215,15,61,0
0000,215,15,55,0
0000,215,15,63,0
0000,215,15,54,0
0000,216,15,75,0
0000,195,15,60,0
0000,277,15,74,0
0000,261,15,56,0
0000,280,15,48,0
0000,261,15,75,0
0000,261,15,74,0
0000,216,15,46,0
0000,261,15,54,0
0000,277,15,57,0
0000,276,15,54,0
0000,269,15,45,0
0000,280,15,59,0
0000,279,15,47,0
0000,280,15,46,0
0000,269,15,59,0
0000,280,15,42,0
0000,280,15,62,0
0000,280,15,67,0
0000,280,15,41,0
0000,280,15,55,0
0000,266,15,59,0
0000,280,15,44,0
0000,277,15,43,0
0000,280,15,51,0
0000,278,15,49,0
0000,318,15,56,0
0000,280,30,16,0
0000,194,30,25,0
0000,215,30,12,0
0000,215,30,21,0
0000,216,30,35,0
0000,195,30,30,0
0000,277,30,13,0
0000,261,30,19,0
0000,280,30,10,0
0000,261,30,20,0
0000,216,30,40,0
0000,261,30,41,0
0000,277,30,18,0
0000,276,30,44,0
0000,269,30,27,0
0000,280,30,22,0
0000,279,30,34,0
0000,280,30,36,0
0000,215,30,25,0
0000,261,30,22,0
0000,280,30,24,0
0000,269,30,15,0
0000,280,30,28,0
0000,280,30,17,0
0000,280,30,19,0
0000,266,30,22,0
0000,277,30,11,0
0000,280,30,43,0
